run	lumisection	evt
316187	332	441297497
316187	332	440493209
316199	490	682777937
316199	963	1339112133
316199	485	675823829
316722	375	501484589
316758	307	429061504
316758	1185	1707207286
316876	205	285024098
316876	230	324044838
316876	282	400585768
316758	713	1000404991
316766	589	748288236
316876	245	346187256
316876	253	357992907
316993	212	244766196
316995	584	879911172
316995	351	530263558
315689	131	143614230
315704	19	15226817
315705	392	270430148
315690	600	354548321
315713	1063	1223363006
315645	220	227198143
315689	682	745963970
315689	750	806172866
315703	440	451439248
316380	111	77922717
316457	145	195711454
316719	29	41042681
316719	29	41061725
316058	171	195760726
316058	171	196223579
315973	154	175133092
315973	859	959808605
315974	19	16105554
316058	43	17961203
315973	714	823504495
315973	619	727066251
316058	320	398497620
316058	295	367006455
316058	297	369733840
316058	226	274839295
316058	235	287031007
316187	163	223472442
316199	580	793825625
316187	286	382813239
316110	61	86763747
316187	69	95751056
316199	478	667042051
316187	75	103274480
316187	589	776116377
316153	678	919600095
316114	1065	1083708223
316701	182	249481820
315339	565	371361718
316114	652	630466428
316187	789	1076740512
315801	264	259194851
316216	76	79606095
315357	302	251910847
315361	403	344634477
315361	468	395922483
315366	679	361486904
315357	235	196015078
315361	337	289821236
315366	120	73583760
315361	307	263866758
315363	69	45904572
315366	374	213278636
315420	112	81792251
315420	175	134880264
315689	793	843840724
315689	889	923395075
315645	538	504619565
315646	867	537197767
315647	46	20214288
315689	246	286276771
316985	255	350089388
316766	1168	1611569166
316766	1598	2224831306
316766	1649	2297511211
315512	860	651711254
316766	1847	2554825610
316928	162	195383011
316700	294	375797445
315543	99	69381023
315646	253	181458712
315703	383	400286945
315689	226	261415181
315646	950	581070958
315645	491	466598644
315646	394	272776502
315645	330	328868867
315645	336	334116017
315689	168	189309992
315689	935	959742525
315689	1121	1097706916
315645	200	207868259
315645	448	431180514
315840	480	589859088
316153	284	383404707
316201	427	598902654
316202	211	297339791
316218	352	495349330
315713	377	497513524
316199	1048	1456781838
315713	494	639173766
316201	320	446644233
315713	421	550090091
316569	631	835040334
316877	262	397839278
315721	166	222566369
316218	252	364434477
315713	850	1027961082
315770	128	153164628
316766	1691	2356280377
315713	867	1044276527
316758	44	53795416
315721	179	242549253
315713	1026	1190733324
315713	1074	1232860255
315721	456	585320346
315770	97	104926540
315721	525	661595725
316216	326	432336142
315770	222	300440466
316766	189	222234083
316985	219	301169589
315840	171	196994880
316722	163	227418076
316766	249	311167509
316457	512	591497431
315785	208	262803846
315784	69	69956392
315790	380	264671454
315784	160	208215863
316569	292	359804702
315510	152	170920762
315506	98	119429144
316217	124	145697188
315512	995	730946459
316720	90	116684266
315512	42	39495962
316569	1436	1970348313
315770	134	163329637
316877	122	188442358
315801	198	198538296
316766	230	282584712
316766	232	286441871
316613	103	47485908
316569	1224	1669955931
315790	833	521658797
316569	94	106587436
315790	155	113880734
315785	25	33438585
316569	107	124242840
316590	257	363029539
316666	23	27090879
316666	882	1249314715
316569	327	400382927
315800	101	102692544
315785	79	104834633
316569	990	1352124763
316569	1070	1457922498
316569	1210	1649706848
316505	144	152581404
316505	1008	1319519484
316505	1017	1331440161
316505	1166	1530270255
316505	491	584215377
316505	530	628428121
316505	548	648352777
316505	577	687093952
316187	323	429295974
316186	67	49997769
315267	26	25321551
316241	290	432599842
315322	581	401694862
316059	303	332070400
316239	601	756558379
316240	66	94256915
315322	677	455912362
316239	360	456326000
315339	481	320224834
316218	383	533515331
316218	464	633561061
316239	297	376849432
315322	890	571367324
316240	672	940787396
316240	872	1233188490
316153	266	360756251
316153	312	419183299
316217	218	266414042
316218	77	115427450
315489	102	62229273
315770	44	25116655
316380	675	528027882
316457	89	119481766
315512	109	101691597
316380	877	715534592
316380	903	738452305
315510	241	265884976
315840	121	128133560
316877	72	112179506
316877	161	246988553
315512	919	686677291
316720	118	156831100
316666	847	1203848227
316216	58	50120220
316766	378	487669658
316666	937	1332075201
316985	329	450259442
315721	485	617979737
316701	271	388842195
316766	565	718730532
316240	1002	1412781444
316241	20	31393064
316241	50	78301652
316201	173	221413701
316239	603	758616269
316241	196	300837509
316199	1147	1589362962
316201	287	395976058
316201	303	420858223
316202	25	32867548
316217	18	20067057
316219	95	149351151
316153	605	815412866
316219	71	111682574
315764	261	358737489
316216	126	158082974
315800	484	594333649
315801	255	251395985
316219	218	335243960
316219	219	336645055
316114	1378	1390652031
315489	292	169847371
315339	164	104977540
316153	542	719697114
316114	1361	1375862040
316153	138	197455919
315322	1343	780096663
315322	1092	670883632
316114	47	52253123
315713	929	1102668970
315357	76	44493803
316114	298	319200476
316114	1086	1105962739
316240	1075	1513619880
316199	1191	1646862391
316187	744	1010732499
315512	686	543105714
316766	1670	2327449041
315259	131	85662892
315270	143	123097403
315270	276	233256372
315322	524	368018041
315267	15	14768748
315267	46	44939014
316187	231	312269352
315270	438	358923974
316060	16	13049218
316060	47	39637292
316060	49	40960569
316060	98	82849618
316082	253	322190619
