run   lumisection evt
300785 665 830910336
300785 711 881709045
301142 565 478097651
301142 34 34102053
301142 130 127179579
301142 187 180701493
301142 730 590236653
301161 440 372033322
301161 685 574286837
301183 89 78852205
301142 357 322092664
301161 388 326238245
301183 226 203242614
301161 124 84270287
301161 593 502136328
301161 132 92222232
301985 136 147094545
301283 35 31904439
301283 100 92360466
301283 501 427606903
301986 270 235684604
301180 85 86948351
301997 112 98617131
301997 298 315850288
300806 113 130304168
299479 11 12452793
300122 708 986351580
301984 70 73970356
301985 236 249188288
301281 131 94646525
301283 194 175806924
301283 540 458705321
301283 659 550544794
301984 59 58714055
301997 336 357302841
301283 847 686916294
301984 156 185005720
300459 248 373556033
301986 166 148411651
301987 567 414842288
301985 286 296702164
301985 313 322513452
301985 314 323854105
301997 124 112762832
301532 40 26502992
301524 185 167938796
299450 84 68538639
300777 371 567749660
301997 393 418524431
301323 602 589109669
301330 151 148321205
301384 341 379561068
301391 197 179668861
301384 149 175608976
301142 247 232886033
300122 570 793894562
301359 102 75996489
301359 140 121759249
301359 191 181231493
301399 65 41189638
301384 405 444347877
301392 357 353028248
299370 524 673769528
300157 919 915368924
301391 103 73248189
301392 58 60755953
301384 226 260591157
301384 398 438180148
301384 471 509228473
301392 444 433904225
301397 226 168436072
301397 226 168567548
301397 585 427346828
299478 103 147227544
301472 316 302445515
301476 95 75868178
301472 722 687018994
301959 1111 1133670327
300157 231 248627746
300280 313 387300169
301449 115 90091760
301476 219 171171183
301447 296 277949299
301447 478 455055403
301627 829 686207310
301472 792 748561833
301665 143 125844743
300282 165 235835615
301448 312 266391054
301664 322 299262348
301914 263 176448120
301912 158 110686802
301461 413 399687576
301941 504 469573563
301627 296 260466279
301627 258 223451834
301664 379 352283085
301449 254 197773184
301627 925 753113047
300237 659 895597524
301984 211 251791067
301665 374 312174362
301627 235 201008761
301914 5 3630655
301941 568 522040691
301449 168 132805845
301448 76 67624105
301959 1645 1528941008
301472 71 37976196
301627 766 641139243
301664 100 74504116
301959 1511 1436872158
301627 667 568265518
301912 363 281166413
301912 363 280585566
301941 396 374843620
301665 213 183477482
301627 577 500397129
301914 55 39553349
301627 165 129035093
301472 480 462672846
301627 156 118808118
301627 492 433448625
301627 617 530331172
301627 276 241249034
301959 1458 1399522964
301472 791 748329487
300785 852 1025118405
300785 977 1155152614
301476 5 3392064
301472 210 191702736
301959 402 472553720
301472 439 423126458
301664 232 209852616
301664 246 224022371
301998 1515 1199244563
301998 1373 1111278650
301531 212 156861816
301530 17 13155005
301530 18 14008406
301959 801 874616724
299481 81 96963189
299481 85 101556623
300233 117 126744100
301532 522 319701650
301959 835 904998973
301998 1418 1139568586
301998 1420 1140990817
301531 244 179115337
301532 348 219643292
301567 190 184048189
301567 333 327171249
300122 490 677911952
301567 225 219209647
301532 440 272950877
301567 171 164089867
301941 93 76815212
301941 387 367100883
301913 21 15647493
301959 1116 1138404648
301959 139 155163326
301959 59 41615942
300280 186 220337959
299480 597 845301161
301959 425 498798151
301959 1637 1522961384
301959 198 229612976
301970 100 115989335
301959 952 1005458186
301998 1146 962175673
300811 68 110169877
300284 736 952760207
301987 369 279260668
301998 378 362499521
301998 535 496185524
301998 551 508913689
300235 152 231203693
300284 168 240697252
300284 170 243095649
