 run  lumi   event
   1    46    4523
   1    46    4546
   1    46    4591
   1    47    4611
   1    47    4607
   1    47    4652
   1    47    4692
   1    48    4728
   1    49    4803
   1    49    4840
   1    50    4903
   1    50    4923
   1    50    4995
   1    51    5013
   1    51    5016
   1    51    5046
   1    51    5076
   1    52    5101
   1    53    5228
   1    54    5354
   1    54    5393
   1    55    5425
   1    55    5479
   1    55    5480
   1    55    5487
   1    56    5539
   1    56    5600
   1    57    5631
   1    57    5683
   1    58    5731
   1    58    5760
   1    58    5792
   1    59    5813
   1    60    5910
   1    61    6011
   1    62    6171
   1    63    6293
   1    64    6356
   1    65    6487
   1    66    6590
   1    68    6731
   1    69    6811
   1    69    6845
   1    70    6970
   1    70    6991
   1    70    6990
   1    71    7029
   1    72    7138
   1    72    7180
   1    73    7270
   1    74    7324
   1    74    7377
   1    74    7389
   1    75    7445
   1    76    7515
   1    76    7544
   1    76    7580
   1    77    7635
   1    77    7658
   1    78    7782
   1    79    7834
   1    79    7844
   1    79    7867
   1    79    7889
   1    80    7924
   1    80    7954
   1    80    7960
   1    81    8016
   1    82    8119
   1    85    8500
   1    86    8558
   1    87    8622
   1    87    8607
   1    87    8698
   1    88    8729
   1    88    8739
   1    88    8762
   1    88    8798
   1    89    8829
   1    90    8906
   1    90    8926
   1   121   12056
   1   121   12035
   1   122   12180
   1   122   12192
   1   123   12224
   1   124   12323
   1   124   12331
   1   124   12368
   1   124   12383
   1   124   12392
   1   125   12405
   1   125   12421
   1   125   12426
   1   125   12447
   1   125   12480
   1   125   12486
   1   125   12484
   1   126   12575
   1   127   12683
   1   127   12681
   1   128   12717
   1   129   12892
   1   129   12900
   1   130   12919
   1   133   13291
   1   133   13275
   1   134   13374
   1   135   13488
   1   136   13534
   1   137   13613
   1   138   13721
   1   138   13747
   1   138   13781
   1   138   13789
   1   139   13876
   1   140   13904
   1   140   13926
   1   140   13961
   1   140   13968
   1   140   13996
   1   141   14050
   1   142   14123
   1   142   14178
   1   143   14248
   1   143   14264
   1   144   14309
   1   144   14366
   1   144   14400
   1   145   14485
   1   146   14527
   1   147   14602
   1   147   14668
   1   148   14734
   1   148   14756
   1   148   14775
   1   148   14784
   1   149   14840
   1   149   14874
   1   149   14890
   1   150   14966
   1   151   15058
   1   151   15057
   1   154   15359
   1   155   15419
   1   155   15457
   1   155   15482
   1   157   15648
   1   157   15671
   1   159   15805
   1   160   15924
   1   160   15945
   1   161   16043
   1   161   16090
   1   162   16118
   1   163   16262
   1   163   16278
   1   164   16323
   1   164   16337
   1   164   16367
   1   165   16407
   1   165   16428
   1   165   16423
   1   166   16547
   1   167   16677
   1   168   16744
   1   168   16772
   1   168   16765
   1   169   16803
   1   169   16819
   1   169   16801
   1   169   16829
   1   169   16835
   1   169   16883
   1   170   16910
   1   170   16964
   1   170   16966
   1   170   17000
   1   171   17080
   1   172   17111
   1   172   17105
   1   172   17127
   1   172   17182
   1   175   17430
   1   175   17475
   1   176   17544
   1   176   17556
   1   177   17615
   1   177   17640
   1   178   17740
   1   178   17752
   1   179   17804
   1   179   17823
   1   179   17847
   1   180   17906
   1   180   17973
   1   180   17984
   1   481   48010
   1   481   48094
   1   481   48084
   1   482   48170
   1   483   48205
   1   483   48234
   1   483   48229
   1   483   48270
   1   483   48277
   1   484   48324
   1   485   48405
   1   485   48478
   1   485   48483
   1   486   48530
   1   486   48528
   1   486   48573
   1   486   48595
   1   487   48611
   1   487   48700
   1   487   48696
   1   489   48811
   1   489   48852
   1   490   48955
   1   491   49002
   1   491   49040
   1   491   49086
   1   491   49097
   1   492   49126
   1   492   49143
   1   492   49142
   1   492   49145
   1   492   49174
   1   492   49189
   1   494   49313
   1   494   49318
   1   495   49457
   1   495   49479
   1   495   49475
   1   496   49508
   1   496   49531
   1   496   49535
   1   497   49639
   1   497   49637
   1   497   49687
   1   498   49755
   1   499   49844
   1   499   49882
   1   500   49920
   1   500   49939
   1   501   50064
   1   501   50083
   1   501   50078
   1   503   50298
   1   504   50362
   1   505   50419
   1   505   50436
   1   506   50502
   1   506   50586
   1   507   50627
   1   507   50623
   1   508   50735
   1   509   50873
   1   510   50911
   1   510   50998
   1   511   51068
   1   512   51112
   1   512   51131
   1   513   51211
   1   513   51254
   1   513   51257
   1   514   51307
   1   514   51382
   1   516   51586
   1   517   51603
   1   518   51752
   1   518   51766
   1   519   51848
   1   519   51851
   1   519   51889
   1   520   51945
   1   520   51963
   1   521   52011
   1   523   52205
   1   523   52244
   1   524   52359
   1   524   52347
   1   524   52385
   1   525   52459
   1   527   52617
   1   527   52633
   1   527   52614
   1   528   52750
   1   529   52859
   1   530   52929
   1   530   52960
   1   530   52963
   1   530   52982
   1   531   53018
   1   531   53032
   1   531   53065
   1   532   53140
   1   532   53185
   1   533   53207
   1   533   53264
   1   534   53349
   1   534   53360
   1   535   53412
   1   535   53411
   1   536   53521
   1   536   53528
   1   536   53568
   1   536   53577
   1   536   53598
   1   537   53700
   1   538   53733
   1   538   53750
   1   539   53864
   1   539   53877
   1   540   53928
   1   540   53942
   1   541   54020
   1   541   54090
   1   542   54186
   1   543   54205
   1   543   54230
   1   544   54335
   1   544   54391
   1   545   54433
   1   545   54491
   1   546   54542
   1   546   54589
   1   548   54711
   1   549   54804
   1   549   54883
   1   550   54936
   1   550   54952
   1   550   54979
   1   551   55026
   1   552   55134
   1   552   55183
   1   552   55180
   1   552   55192
   1   553   55205
   1   555   55500
   1   556   55579
   1   557   55637
   1   559   55801
   1   559   55820
   1   559   55896
   1   559   55866
   1   560   55971
   1   560   55995
   1   561   56014
   1   561   56005
   1   561   56024
   1   561   56098
   1   562   56167
   1   563   56214
   1   563   56226
   1   563   56269
   1   564   56306
   1   564   56365
   1   565   56443
   1   565   56435
   1   566   56528
   1   566   56574
   1   568   56754
   1   569   56802
   1   569   56855
   1   569   56831
   1   569   56890
   1   570   56908
   1   570   56959
   1   570   56982
   1  1021  102007
   1  1022  102118
   1  1022  102120
   1  1022  102170
   1  1022  102195
   1  1023  102216
   1  1024  102366
   1  1025  102412
   1  1025  102448
   1  1025  102471
   1  1026  102511
   1  1026  102557
   1  1026  102565
   1  1026  102593
   1  1027  102625
   1  1029  102837
   1  1029  102865
   1  1030  102950
   1  1030  102986
   1  1031  103055
   1  1032  103149
   1  1033  103210
   1  1034  103370
   1  1034  103392
   1  1035  103407
   1  1035  103419
   1  1035  103432
   1  1035  103429
   1  1035  103486
   1  1036  103523
   1  1037  103694
   1  1039  103884
   1  1039  103889
   1  1040  103922
   1  1040  103975
   1  1041  104013
   1  1041  104008
   1  1041  104081
   1  1042  104134
   1  1043  104236
   1  1043  104284
   1  1045  104412
   1  1045  104430
   1  1045  104435
