 run  lumi   event
   1  4612  461139
   1  4612  461177
   1  4612  461191
   1  4613  461231
   1  4613  461263
   1  4613  461274
   1  4613  461299
   1  4614  461341
   1  4614  461383
   1  4615  461414
   1  4615  461446
   1  4616  461548
   1  4616  461535
   1  4616  461554
   1  4616  461565
   1  4618  461747
   1  4618  461798
   1  4619  461882
   1  4621  462011
   1  4621  462015
   1  4621  462044
   1  4621  462076
   1  4621  462080
   1  4621  462079
   1  4621  462082
   1  4622  462140
   1  4622  462159
   1  4623  462246
   1  4624  462328
   1  4624  462344
   1  4624  462356
   1  4624  462400
   1  4625  462420
   1  4625  462417
   1  4625  462454
   1  4625  462486
   1  4626  462552
   1  4626  462578
   1  4626  462587
   1  4627  462603
   1  4627  462628
   1  4627  462671
   1  4627  462685
   1  4629  462827
   1  4629  462865
   1  4630  462938
   1  4630  462960
   1  4630  462998
   1  4631  463014
   1  4631  463020
   1  4631  463022
   1  4631  463029
   1  4631  463064
   1  4631  463086
   1  4631  463092
   1  4632  463125
   1  4632  463152
   1  4632  463147
   1  4632  463194
   1  4633  463205
   1  4633  463221
   1  4633  463239
   1  4634  463351
   1  4634  463374
   1  4635  463453
   1  4635  463477
   1  4635  463495
   1  4636  463546
   1  4636  463563
   1  4637  463617
   1  4637  463635
   1  4637  463668
   1  4639  463897
   1  4640  463912
   1  4640  463932
   1  4640  463962
   1  1016   69682
   1  1016   69694
   1  1017   69709
   1  1017   69712
   1  1017   69730
   1  1017   69716
   1  1017   69735
   1  1017   69750
   1  1017   69754
   1  1018   69814
   1  1018   69827
   1  1018   69825
   1  1018   69842
   1  1018   69854
   1  1019   69905
   1  1019   69971
   1  1021   70147
   1  1022   70239
   1  1022   70243
   1  1023   70327
   1  1023   70398
   1  1024   70484
   1  1025   70517
   1  1025   70553
   1  1025   70565
   1  1026   70645
   1  1026   70649
   1  1026   70651
   1  1026   70678
   1  1027   70704
   1  1027   70736
   1  1028   70843
   1  1028   70880
   1  1029   70923
   1  1029   70940
   1  1029   70960
   1  1029   70926
   1  1029   70959
   1  1030   71022
   1  1030   71088
   1  1030   71100
   1  1031   71122
   1  1031   71135
   1  1031   71193
   1  1032   71202
   1  1032   71261
   1  1032   71260
   1  1033   71333
   1  1034   71449
   1  1035   71507
   1  1035   71552
   1  1035   71566
   1  1035   71576
   1  1036   71619
   1  1036   71636
   1  1036   71630
   1  1036   71675
   1  1036   71678
   1  1037   71731
   1  1037   71737
   1  1037   71776
   1  1037   71788
   1  1038   71826
   1  1038   71866
   1  1038   71884
   1  1039   71908
   1  1039   71919
   1  1039   71923
   1  1039   71961
   1  1040   72089
   1  1040   72090
   1  1041   72124
   1  1041   72188
   1  1041   72194
   1  1042   72201
   1  1042   72231
   1  1042   72230
   1  1042   72246
   1  1042   72259
   1  1042   72256
   1  1042   72265
   1  1043   72306
   1  1043   72357
   1  1043   72381
   1  1043   72399
   1  1044   72422
   1  1044   72424
   1  1044   72453
   1  1044   72469
   1  1044   72494
   1  3336  333571
   1  3336  333578
   1  3337  333610
   1  3337  333632
   1  3338  333710
   1  3338  333761
   1  3339  333899
   1  3340  333902
   1  3340  333948
   1  3340  333944
   1  3340  333967
   1  3340  333973
   1  3340  333990
   1  3340  333997
   1  3341  334059
   1  3341  334097
   1  3342  334113
   1  3342  334108
   1  3342  334132
   1  3342  334139
   1  3342  334146
   1  3343  334236
   1  3343  334293
   1  3344  334304
   1  3344  334357
   1  3344  334371
   1  3344  334378
   1  3344  334393
   1  3344  334391
   1  3345  334424
   1  3345  334437
   1  3345  334497
   1  3346  334540
   1  3346  334544
   1  3346  334553
   1  3346  334576
   1  3346  334595
   1  3347  334607
   1  3347  334604
   1  3347  334635
   1  3347  334659
   1  3347  334679
   1  3348  334716
   1  3348  334706
   1  3348  334732
   1  3348  334736
   1  3348  334799
   1  3349  334840
   1  3349  334854
   1  3351  335016
   1  3351  335033
   1  3351  335096
   1  3352  335109
   1  3353  335227
   1  3353  335245
   1  3353  335265
   1  3353  335299
   1  3354  335380
   1  3355  335413
   1  3355  335443
   1  3355  335485
   1  3355  335494
   1  3355  335492
   1  3355  335496
   1  3356  335582
   1  3357  335623
   1  3357  335628
   1  3358  335703
   1  3358  335739
   1  3358  335736
   1  3358  335741
   1  3358  335798
   1  3359  335806
   1  3359  335823
   1  3359  335814
   1  3359  335832
   1  3359  335838
   1  3360  335930
   1  3360  335950
   1  3360  335963
   1  3360  335974
   1  3360  335982
   1  3361  336045
   1  3361  336049
   1  3361  336069
   1  3363  336235
   1  3363  336283
   1  3364  336302
   1  3364  336359
   1  3364  336394
   1  3801  380001
   1  3801  380023
   1  3801  380041
   1  3801  380054
   1  3801  380094
   1  3802  380105
   1  3802  380148
   1  3802  380149
   1  3802  380171
   1  3803  380202
   1  3803  380230
   1  3803  380241
   1  3804  380306
   1  3804  380387
   1  3804  380395
   1  3805  380409
   1  3805  380421
   1  3805  380491
   1  3806  380516
   1  3806  380522
   1  3806  380518
   1  3806  380532
   1  3806  380557
   1  3807  380603
   1  3807  380611
   1  3807  380683
   1  3808  380703
   1  3808  380719
   1  3808  380740
   1  3808  380758
   1  3808  380761
   1  3808  380772
   1  3808  380785
   1  3808  380798
   1  3809  380893
   1  3810  380919
   1  3810  380942
   1  3810  380917
   1  3810  380962
   1  3810  380996
   1  3810  380986
   1  3810  380995
   1  3810  380997
   1  3811  381001
   1  3811  381056
   1  3811  381052
   1  3811  381076
   1  3812  381119
   1  3812  381133
   1  3812  381150
   1  3812  381171
   1  3812  381194
   1  3812  381190
   1  3813  381205
   1  3813  381248
   1  3814  381302
   1  3814  381312
   1  3814  381354
   1  3814  381369
   1  3814  381385
   1  3815  381420
   1  3815  381479
   1  3816  381534
   1  3816  381598
   1  3816  381585
   1  3816  381600
   1  3817  381604
   1  3817  381625
   1  3817  381665
   1  3817  381690
   1  3818  381711
   1  3818  381784
   1  3818  381779
   1  3819  381821
   1  3820  381912
   1  3820  381936
   1  3820  381958
   1  3821  382009
   1  3822  382129
   1  3822  382142
   1  3822  382145
   1  3824  382318
   1  3824  382335
   1  3824  382363
   1  3824  382381
   1  3825  382421
   1  3825  382426
   1  3825  382471
   1  3825  382459
   1  3825  382496
   1  3826  382519
   1  3826  382535
   1  3826  382517
   1  3826  382570
   1  3826  382589
   1  3827  382661
   1  3827  382654
   1  3827  382694
   1  3828  382706
   1  3828  382730
   1  3828  382740
   1  3828  382793
   1  3828  382783
   1  3828  382798
   1  1190  118953
   1  1190  118980
   1  1191  119035
   1  1191  119094
   1  1191  119089
   1  1192  119113
   1  1192  119124
   1  1192  119173
   1  1192  119180
   1  1194  119312
   1  1194  119386
   1  1195  119440
   1  1195  119478
   1  1195  119473
   1  1196  119564
   1  1196  119589
   1  1198  119769
   1  1198  119772
   1  1199  119812
   1  1199  119896
   1  1200  119924
   1  1200  119950
   1  1200  119979
   1  1200  119958
   1  1200  119972
   1  1200  119988
   1  1202  120116
   1  1202  120140
   1  1203  120210
   1  1203  120281
   1  1204  120336
   1  1204  120331
   1  1204  120352
   1  1204  120337
   1  1204  120367
   1  1204  120377
   1  1205  120412
   1  1205  120424
   1  1205  120476
   1  1205  120471
   1  1205  120498
   1  1206  120590
   1  1207  120629
   1  1207  120642
   1  1207  120698
   1  1208  120778
   1  1208  120789
   1  1209  120802
   1  1209  120836
   1  1209  120882
   1  1210  120905
   1  1210  120938
   1  1210  120960
   1  1210  120961
   1  1211  121004
   1  1211  121066
   1  1212  121130
   1  1212  121143
   1  1213  121224
   1  1213  121230
   1  1213  121246
   1  1213  121260
   1  1213  121227
   1  1214  121307
   1  1214  121334
   1  1214  121358
   1  1214  121374
   1  1214  121371
   1  1214  121400
   1  1215  121423
   1  1215  121465
   1  1215  121487
   1  1216  121527
   1  1217  121604
   1  1217  121645
