run	lumisection	evt
316457	145	195711454
316590	280	394961607
316666	452	633642749
316590	351	486980260
316569	1210	1649706848
316569	1224	1669955931
316590	472	634374141
316666	595	844555072
316590	257	363029539
316666	501	706426355
316666	503	709590693
316666	882	1249314715
316569	1698	2334946415
316569	1937	2696150424
316590	33	29552731
316613	81	31697180
316590	75	92411461
316666	84	103812090
316590	96	126757581
316590	358	496319962
316219	243	373951950
316199	1191	1646862391
316216	250	331412339
316766	91	77397111
315489	102	62229273
315512	860	651711254
315512	995	730946459
315489	181	107846872
315489	191	113949045
315489	215	127604060
315489	624	339693349
315506	98	119429144
315512	42	39495962
315510	145	163512110
315510	152	170920762
315510	202	225349919
315510	52	56465870
315510	52	57028016
315510	241	265884976
315512	109	101691597
315512	213	193258368
316717	172	231049042
316995	351	530263558
316380	1	72983
315366	374	213278636
315366	646	346241579
315366	679	361486904
315357	302	251910847
315361	177	147695963
315361	337	289821236
315361	468	395922483
315363	69	45904572
315366	54	33746053
315366	120	73583760
315366	321	185963624
315366	471	261884562
316717	178	240159526
316505	989	1292141000
316505	998	1305776505
316505	465	553495444
315713	974	1144288316
315713	1063	1223363006
315721	335	444954228
315721	485	617979737
315721	525	661595725
315764	42	19116084
315770	97	104926540
316058	235	287031007
316058	249	305763179
316058	43	17961203
316058	295	367006455
316058	297	369733840
315973	154	175133092
315973	591	697603538
316058	386	480309336
315973	349	428438912
315974	19	16105554
315973	387	473301296
315973	865	965450780
315973	619	727066251
316059	69	77164662
316058	171	196223579
316060	818	850230823
316082	67	62177049
316758	253	356238841
316457	910	1051338883
316877	161	246988553
316569	161	198020923
316569	1185	1610736651
316569	1189	1617305973
316877	72	112179506
316666	847	1203848227
316722	123	173084811
316362	347	245631005
316218	906	1256836755
316241	290	432599842
316702	208	287974439
316716	106	131763345
316718	100	156796563
316718	116	181609245
316722	375	501484589
316995	168	241140025
316718	288	427287619
317382	112	91893855
317392	96	136093305
317383	6	8114138
317392	626	850940318
317392	599	809056796
317392	838	1170637188
317392	140	200242157
317392	150	214479951
317392	1236	1755507680
317392	909	1273355150
317392	985	1377048248
317392	1052	1467506466
317392	1363	1936630604
317392	1426	2024255984
317392	1383	1963604398
317392	1034	1442659626
317320	673	963456841
317320	1075	1591035924
317320	949	1387870250
317320	979	1436700506
317696	495	725465360
317696	675	1003761578
317641	1236	1859043670
317650	136	194594293
317435	1381	1982223971
317435	455	642735540
317435	1013	1463397956
317435	895	1282821582
317435	469	664133290
317435	951	1370833814
317435	963	1387361838
317435	330	454226680
317435	654	938634349
317435	187	232136134
317435	192	238339356
317435	1005	1452242432
317435	1072	1550414004
317435	1350	1939742294
317087	576	734506103
317087	118	119786289
317089	91	120497146
317089	98	129964484
317089	240	324365206
317089	825	1223079339
317089	898	1349043760
317212	167	202566122
317640	610	888984583
317320	943	1377936160
317320	526	741212095
317649	223	329568446
317649	387	594263770
317650	522	779683666
317650	1165	1744299114
317649	567	866408936
317650	950	1418623250
317291	430	579580411
317291	541	718087634
317291	148	185429879
317291	599	817398652
317297	12	14642951
317319	140	162497591
317291	299	403793884
317291	523	695700111
317291	687	961594166
317291	746	1054231055
317291	795	1129899390
317291	817	1160878384
317291	780	1106568620
317292	239	353916693
317292	156	235701808
317297	582	916141064
317297	720	1106856021
317182	610	816190850
317182	742	1019638869
317182	757	1043391935
317182	63	49829597
317213	113	145419611
317212	52	40689859
317212	54	42673199
317591	44	25853880
317591	48	32685152
317213	21	27166764
317591	113	136577667
317212	164	197439669
317213	28	36508938
317213	33	43527984
317182	1069	1510615993
317182	489	628470058
317182	994	1405859138
317182	1357	1948693916
317182	782	1080318024
317182	1187	1675094482
317182	1264	1801217869
317212	149	175864718
317591	70	69027663
317392	488	646302138
317649	112	160291737
317649	208	308266719
317650	601	888984904
317650	158	226531878
317527	303	374914702
317527	1238	1777968689
317527	55	38453855
317527	557	736984738
317527	347	430832596
317527	653	883386712
317527	950	1348760024
317527	1328	1904946457
317527	1115	1595757312
317640	203	264460219
317626	142	191079836
317626	184	246546584
317626	604	904374841
317640	624	910595752
317626	675	1022752477
317626	683	1035654724
317626	1090	1648172869
317640	453	639358892
317640	286	380172593
317641	308	447988267
317640	162	206563779
317640	648	947747043
317640	146	190899358
317641	34	49288847
317641	43	61523007
317641	224	318367579
317626	1976	2975769540
317626	2004	3015731764
317484	172	218824204
317484	172	219611932
317488	180	249823693
317488	705	1007592522
317484	98	119025008
317484	99	119993583
317488	25	34712301
317484	506	730313808
317484	423	604015864
317488	206	283640757
317488	217	298501356
317320	1116	1655074780
317663	541	819187290
317663	636	968512117
317663	794	1194420320
317683	143	173575563
317683	127	148329860
317683	267	341017627
317683	306	406664749
317696	564	833951769
317683	377	518222742
317696	319	445449984
317696	428	620887807
317696	162	208847385
317641	101	145684357
317320	623	885006686
317640	433	605964598
318877	420	613009926
318877	463	672130590
318872	156	222569017
318872	126	175785042
318872	130	181297598
318874	42	67829175
318872	215	310984813
318874	223	362167466
318876	62	93238341
318877	88	129915045
318877	167	250701045
318877	367	540265592
317641	1072	1627601647
317641	1131	1713747298
317650	433	650406878
317626	1409	2132884198
317626	1628	2433189724
317626	1798	2706060438
317626	1917	2889123595
317626	2044	3063374339
317661	686	1017680143
317661	870	1299230284
317661	882	1316909902
317661	946	1413035639
317661	996	1485644701
317663	82	116098240
317663	89	126666256
317663	147	209088680
317641	97	139843883
317649	352	538639851
317320	270	360567441
317339	86	134228173
317339	89	138340615
317320	223	301764569
317320	297	393178564
317340	29	38499500
317340	30	39702035
317340	45	58445863
317340	141	183785690
317339	105	160128580
317340	196	253004580
317339	49	78074186
317320	100	143927206
317626	526	778367963
317640	718	1052043024
317320	1315	1947541332
317291	131	159180166
319941	246	383254101
319941	281	442875194
319993	215	349486573
319993	305	489683419
319993	613	954095119
319993	711	1117645846
319993	780	1227697048
319993	926	1435847637
320002	97	82652955
320002	151	168192264
320006	150	253261856
320006	258	437438083
320010	180	279940717
320010	237	372717245
320010	284	447295173
320010	286	450304351
320011	114	176244134
320012	6	7268538
320023	44	50241668
320023	127	180806416
319656	258	323041950
319657	30	46710205
319657	82	129473412
319658	92	143704305
319658	203	327042402
319678	38	19207556
319678	44	24406617
319678	273	405633782
319687	77	63599834
319697	55	41533073
319697	92	100414973
320065	398	637130929
319528	32	46432236
320065	65	109679194
319756	345	535865241
319756	414	648929090
319756	582	944481832
319756	924	1497233836
319756	942	1523627675
319756	1333	2138987328
319756	1367	2188086121
319756	1450	2317563583
319756	1627	2576652981
319347	192	250707431
319449	58	43956831
319449	258	334456882
