run	lumisection	event
301447	88	56689574
301664	41	10401499
301985	346	354464803
301998	210	208806574
301397	470	346865022
301959	831	901008804
301998	1312	1072045872
301472	253	237806349
302472	302	381050047
302392	180	208189110
302031	495	511982221
302322	862	675192703
304507	202	245819258
304671	93	105386963
304333	102	98260291
304169	487	764595338
304655	354	572369552
304562	523	840083149
304738	474	799136852
304120	119	232877671
304562	125	148998693
304144	2266	3065024508
304144	488	824347055
304562	252	353795840
305064	23	34909110
305517	63	109497212
305207	568	881998888
305766	129	171770709
305045	864	1339882499
305365	153	262316594
305188	496	788241089
305112	982	1688578149
306458	97	176704265
305516	482	807023755
306095	83	110726420
305186	399	651178266
305809	56	37008222
